[2021-06-30 10:04:46,388] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:04:48,465] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 10:12:38,572] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20806
[2021-06-30 10:12:38,690] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:12:38,691] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 360
[2021-06-30 10:12:39,032] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:12:39,056] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 10:18:35,143] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 21623
[2021-06-30 10:18:35,201] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:18:35,331] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 360
[2021-06-30 10:18:35,504] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:18:35,608] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 10:18:35,611] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:19:37,472] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 23604
[2021-06-30 10:19:37,509] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:19:37,684] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 360
[2021-06-30 10:19:37,825] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:19:37,917] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 10:19:37,918] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 10:24:12,268] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 304 0
[2021-06-30 10:24:12,537] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 10:27:16,842] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 23640
[2021-06-30 10:27:16,905] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:27:17,041] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 360
[2021-06-30 10:27:17,217] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:27:17,315] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 10:27:49,064] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 23613
[2021-06-30 10:27:49,111] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 10:27:49,286] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 360
[2021-06-30 10:27:49,417] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 10:27:49,492] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 10:27:49,893] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
